system   D            wsystem.c:583  maybe_parent_dir                 [   0.00245] Also searching D:\Users\Ed Starkey\Google Drive\Git Repositories\Project 1\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00289] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00292] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01272] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.06497] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.06503] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.07327] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.07330] al_display=02CE47B0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.07332] al_display->vt=02CE46E8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.09597] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.09603] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09605] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09607] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.09610] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09612] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09614] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09616] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09619] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09621] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09623] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09625] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.09628] Vsync requirement not met.
