system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching D:\Users\Ed Starkey\Google Drive\YSU Spring 2015\CSIS 3700\Project 1\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00084] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00086] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [  -0.07875] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [  -0.04680] Render-to-texture: 1
system   I             system.c:252  al_install_system                [  -0.04674] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [  -0.04235] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [  -0.04231] al_display=029193B0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [  -0.04229] al_display->vt=029192E8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [  -0.02113] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [  -0.02109] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02107] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02104] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02102] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02100] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02097] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02095] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02093] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02091] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02088] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02086] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02083] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02081] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02079] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02077] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02074] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02072] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02070] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02068] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02066] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02063] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02061] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02055] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02052] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02050] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02047] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02045] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02043] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02041] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02039] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02037] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02034] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02032] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02030] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02028] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02025] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02023] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02021] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02019] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02017] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02015] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02012] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02010] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02008] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.02006] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.02004] Vsync requirement not met.
